rosely covali	Unity will happen immediately when death show up Nobody will fight for enemy that everyone who really is The rest is only rest Nobody really care
bob dias	It is time to destroy the stronghold of the enemy I especially appreciate Trump for his action to introduce prison reform I have been active in prison ministry since 1985 and it ha been a real source of God s grace in my life One gift I have been given to share with inmate is a song I wrote in the early 70 called Amazing Grace Revisited http youtu be sTHY35AoPho
ARCHANGEL OF LIGHT	Please list date of interview ” islam is a judgement against an apostate church STOP That ’ s some hogwash right there a sharians torture rape and murder everything non sharian in it ’ s wake Deep state satanist put this rapefugee destruction in place
Lore Sogge	Our father abandoned u what did you think would happen
Joseph M	Don t you mean In God we Trust I like what you represent in this video however where did you come up with your handle Sorry I can t go for that or can I subscribe I Trust in God only not man
dean johnston	The enemy greatest weapon to DIVIDE and conquer Fathers greatest weapon to UNITE and conquer Where 2 or three AGREE
Denise Shumate	Mark Taylor God is not giving America anymore time he is coming back very soon and no one know the day nor the hour of his return God is angry at sin and it not just America but the whole world he is tired of sin and we are not getting more time he is truely showing u we are living in the last day and we a Americans are not going to be shown mercy just because of Donald Trum he is only a man and the bible say to put our trust in no man and Donald Trump is no excrption yes i voted for him only because i felt like he wa much better than Hilary but i can say this she need prayer and lot of it but even Hillary can be saved and the God i serve can turn her completely around just like he can Obama and all those crooked politician and no im not in anyway for her or any of the corrupted one but when i see some of the title of your show on youtube it like you are for the death of these people but what do you think the God we serve and Jesus Christ would want for them he say in his word that he wish no one er puld parish and want them to have everlasting life but i never hear you say God have mercy on them and God please dont let them go to hell Mark Taylor hell is hot and we need to be praying for their sol and i have to say that we are to try the spirit to see if they are from God and when i listen to some of your prophecy they dont line up with the word of God and so many of your show are rerun after rerun there never nothing new from the lord no new prophecy but only stuff thats added on to the old stuff i keep hearing about all the arrest but there never no arrest only you saying we have to wait we have to wait and so m a ny people know that this is not the way it is done if you want to convince me and i dought you will because you were ill have an excuse not to you are more than welcome to try and convince me that what you are saying is what thus say the lord i will listen if it true
William Jones	What if Catholic observatory website http www vofoundation org blog biblical sign sky september 23 2017 The star alignment in the heaven Revelation 12 1 September 23 2017 the End Time alignment The book of Daniel sealed Daniel 12 4 till the End Time September 23rd 2017 Revelation 12 14 Daniel 7 25 the 3 1 2 year time time and dividing of time in context with Daniel 7 12 Daniel 7 26 of their dominion being taken away Interestingly the beast judgment Daniel 7 11 Revelation 19 20 different timing due Daniel 7 12 the rest of the beast plural 1 year time 3 month a season from September 23rd 2017 put the draining of the swamp Dec 23rd 2018 The Jewish need a red heifer without blemish before the temple can be built The word from the temple institute is one wa born in Israel August 28th 2018 it need to be 2 year old from conception the earliest date to dedicate and rebuild the temple November 29th 2019 putting the earliest possibility to the second coming Nov 29th 2026 This is based the final seven year start from the order to rebuild Jerusalem Daniel 9 25 from those interpreting in middle of week Daniel 9 27 are seven year due 3 1 2 year Daniel 12 11 If the the second coming November 29th 2026 then the earliest for the Marriage feast of the Lamb 45 day later Daniel 12 12 January 13th 2027
Lourdes Corrick	i agree we need to be united to stand by God is really the best idea He created life and is the giver of life can imagine a woman to kill life in her a gift given by God the face of God this baby see day and nigh they love thier there mom and truste them alresdy they feel save by you your womb is the only home they got
Sean Newhouse	You sure won t find that unity on social medium except among themselves a in Twitter and fb esp twitter that librull cesspool replete with libs all proud of they re opinion and heavily veiled passive aggressive whiny based snarks giggle rewarding and all around suckupping amongst the Star trekker mostly it seems and condscending about virtue a usual and a if they re the only one lucky enough to have friend and family laugh out loud one of main issue to bring up in this election is trump cutting the red tape and more of so many long on in the tooth failed policy of the past
