Imani7361	I have a blizzi 4 pt
Kameron Baker	Can you do A good impression of snorlax and hardbound
playing with logan	Hey aldallah can you trade me a level 99 yokai
Scooterdude 2342	Yay my theme wa made
Cat From The Future	This might be the best video ever seen
Alex ZGames	SMOOSHED
Luminous Arc	What about making a team from one of the completed circle
shinobi gamer	Can u transfer yokai watch psych specter or blaster data into it
Neil Nexus	4 usapyon v captain thunder and pink emporor
Alexander Williams	QOTD 4 Jibanyan B v Ultra Red Paws 4 Komasan B v Ultra Swirlious Omai 4 Usapyon B v Ultra Captain Thunder
4n0N1M0us 23	Soy de España 🇪🇸 y me encantan tus video I m from Spain 🇪🇸 and I love your video
Abbina L	I wa at the stream Thanks Brent for joining the stream
Theo walters	Opposite team damona dromp Gargaros and dismarelda edit that wa strange Sargent burly spoke to sgt burly🤔
Arceus3398	Four Wantston v Ultra Hinozall
Yolanda N Cruz J	That wa soo cool and fun srgt burly is great talented and he s also steppa xD thank you for the summoning 😍
Janmikegab Barron	St burly
Rosekiller 84	QOTD Do a Halloween theme team or a yo kai watch mascot team
fireman burn	Any nyan thats tecnically jibanyan
Al Lup	Jibanian
Nickle Guy	Nice to see burly not trying to make me go deaf QOTD 4 gutsy bone v all ultra bone boss
Radical K	Signiton thick mouth
Nadia Castro	Robonyan v robonyan 28
BigOof	Remember burii taicho dont know how to spell it
JOSÉ LUIS RODRIGUEZ SR	Pls tell me u did jibanyan
Beatriz Sánchez	I wa suprised to see him QOTD can you do Goldenyan v Golden Claws
1UP inc.	Quick question when do you plan on doing the hidden mansion
Keith Samuel Ang	How many yokai do you voice
TheJMacLean	Thank you for this stream It wa really fun and so cool you got Brent to join
Francisco J. Soto	o can u do 4 cat v rubious j
Kripdome 777	Hi Abdallah I have an idea for a team battle It s Jibanyan B Abodabat or hidabats evolution Impass or noways evolution and Mr Sandma or sandmeh evolution If you didn t notice it s the team from the beginning of the game but evolved Thnxs for reading
dededelete this	How about the starting team v shogun king
JGLF Dragon	AND THE ZOMBIE NIGHT IS IT GON NA BE EASY
Jessica Lauren	Sup man tell Brent I said hi while I m watching this and did you know that he s my Facebook pen pal
irn bru fan	4 jibanyan v ultra rubues j
James Galea	Brent that wa so awesome How do you do that
Mister Layton Gamer	4 Usapyon Normal v Captain Thunder ⚡
Sinjo Kautz	Can you please do 4 Gutsy Bones v Ultra Gutsy Bones
Tony Ayala	No offense Abdallah but his recent haircut make him look more handsomer
Diego Guillen Albaiceta	8 54 Hey wait a moment Double Blizzie I m sure Jibanyan would enjoy this
little cato	How about Nathaniel s theme pallysol mermayden hovernyan gnomie or you can also couse furgus or faux cappa v dame deadtime
Superguils 2006	How do you create the hellhound buble
MS8	Hi
DatfaceddoeThe2nd Aka The Master Of Kirby	in today episode abdallah gather the retired legendary blaster but wait THERES MORE He ha gotten a super secret guest the legendary Brent Pendergrass
The Blue Raptor	4 random Jewelnyans v Ultra Paws and Golden Paws
mudkiptheprogamer YT	Can you please do a team of usapyon against U Captian Thunder Then usapyon B against Pink Emperor
Muffet fan	4 Goldinnyan s Vs golden claw
Blue Boi	Why didn t you use mr happiere and bos signiton
Apolonia Sanchez	Who want to trade 4442 3197 3709 who ha a hissfit pandle ake jubelina dullamma gargaros
