Chogakusei Official	照明が眩しいんですねこれ。
ハニーベア	骨格と首とほくろたまらねぇ。声心地ええのう ‘ ́⌣ ’ ̀
正凜太郎	このイケボ君がまさか1歳年下だったとは
壱遊	笑った時に地味に仮面が上に上がるの笑った
さくらもち	あら！絶対イケメン！
あみ	らぶてんさんのところからきました✨ イケボですね！
12 Kuraha	最初が可愛すぎるんだが… 萌え ᐥᐜᐥ ♡ᐝ
まゆひろ	あの、気にしてたらごめんなさい。 喉仏ないからいろんな音域が出てるのでしょうか？まじで気にしてたらごめんなさい。
月猫アリス	心の大樹ﾎﾞｿｯ
海鈴 深	さてはおめぇ 私のいっこ上だな
柊梛	かっこよ！！！！ヾ ●´∇｀● ﾉ
さら	最初のごめんなさいwが何気に好きww
くま96	カッコイイ
けぼたん	いっぱいちゅき ´꒳
ぴくるす。	あのさ……最初の「さてはオメー、アンチだな」が 「さてはオメー、アンジャナフ」って聞こえたの俺だけ？ ；´・ω・
た か こ*	いっぱいちゅき💕
砂浜	最初からかわええ
。 JIN	同い年とは思えなほどのイケメンボイスですね！！！クラスにこんな人いませんw
ぴゅむ。	だめだ…もういっぱいちゅきだけじゃ表せねぇよ… すき
ジューストマト	何回聞いてもかっこいい
AOKI 。	かっこよすぎるんだが
西園寺*	控えめに言って最高
蒼空	癖が強い歌い方っすね 褒め言葉
窓際	ﾊﾗﾏｽｺｰｲ
キナ__ソラル	久しぶりに見たらめっちゃかっこよくなってる󾭠
m shiro	めっちゃカッコイイ。大人っぽい。歌も上手い。 この先もっと伸びる。 確信
赤いりんご	待って…イケボすぎる…！！！チャンネル登録しました！！ あと、 いっぱいちゅき♡
まるむ【歌ってみた】	同級生ってことに感動ﾟ ﾟ ω´ ﾟ ﾟ
龍之介 ナギ環	超くんカッコイイ💕やばい！\ ♡ ♡
来夢音〜ramune〜	超絶かっこよい。
Noise 75%	いやいや超くんに監視されてたらありがたやだわ 0 37 超くん高2かあ〜大きくなったね…、お母さん嬉しいです、😢
れぶる	大音量イヤホン推奨
とぅるーな。	いっぱいちゅき。
/ニアNia	歌詞です 見慣れた景色に潜むイデア いつだって君は監視されてる クルクル 野花結び合わせて まわる青色のカレイドスコープ 無意識バイアス 誰も知らない存在理由 繰り返し 思い描くスピログラフ 破壊と創造の幾何学模様 打ち切りの先でまた会えるよ パラレルワールド旅して 散りばめる願いに気付いて 世界をリメイク 隙間もない狭苦しいお庭 粉々にして取り替えよ♪ 無から生まれ無に帰れ 全部 何度でもディストピアを越えて またお別れね 次の世界で待ってるから 戻れない 変幻のマンダラ 思い出も崩れてしまえ 意味がない 君も忘れるだけ 何度も手を振る私は 懲りもせず光当てるんだ 世界をリメイク
Elly (エリー)	THIS IS SO COOL I love this soso much
ゆう	仮面しててもイケメン臭がすごい漂ってる……
あめいろみかん	うぽつです！ 歌い方がほんとに好きです！
祐希望	さてはおめーあん…
いちごサン	最初にやられたああああ す、すすすすっ 好きです 小声
Ranhi	かわええ
ホワイトアスパラガス	最初なんて言おうとしてるんです？
まるたろうかれん	すき
ただの・まぐろ	おめぇ さては超学生だな
螺夢てふてふ	いっぱいちゅきいいいいいいいいいい！！！！！！
sky*arrow	さてはおめえ かっこいいな
なよ し	うぽつです、遅くなりました！ かっこいいのにかわいいとかずるいです。最初で無事死亡しました。いっぱいちゅき♡
