Enigmatic Engineer	The armies of mindless idiots spouting  "npc" is hilarious. Same  people that chant mindless phrases at rallies. They the level 1 trash mob, there are millions of them and they are worthless.
Michael Fedo	Ad for Gavin McShittyWhiteNationalist played before this video. What the fuck.
Phibonacci 1618	Are they reading scripts? Seriously.
Crowstudio	It won’t be surprising  if CNN, FOX, MSNBC, and social networks executives are found having private gathering at a luxurious residence Midwest planning new viewer traffic strategies over a nice fire... hey maybe the have an owl statue out in the garden.
Michael Cejnar	No seriously he's finished. It's the beginning of the walls closing in on the bmbshell. So...he's done.
R S	#walkaway
VerisonMember	The video that made Super Delux get the Axe. 😢 Damn Libs can't take criticism.
Liz Abril	IDIOTS!!! 😂🤣😂🤣
chemistryguy	Is it a bombshell?  Asking for a friend.
Michael P	Trump can NOT be impeached without the Senate's approval!
Brian Anderson	You don't have to even like Donald Trump to know that MSM is dead to anyone with a working brain.
Mike Richard	Or you can vote him out.
Valerie McBride	Sad people,  pray, pray 4 them
Bill Melby	To late to bet any money on this?
Stoned Prophet	Jeb is a mess.
MrRondonmon	These coward SOB's are no doubt propagandists in more ways than one. They get fed he same talking points by Media Matters/Soros and the caruse the same "Private Net Sites" and chat about what they are going to all say the next day. And notice what they DON'T SAY, it is propaganda by omission, does anyone believe Menendez would have been LEFT ALONE if he was a Republican ? Just look at Roy Moore who the Washington Post DRUMMED UP lies about. They had an uncredible woman who was running her mouth but wouldn't com forward, all of the sudden the WAPO finds two women Moore dated who were supposedly 17 and 18 but were probably 18 and 19, but back in the 70's younger woman dated older guys all the time, my mom was 17 and married my 28 year old dad. Then they got a women  to say he "ASKED HER OUT when she was 16, and MET HER when she was 14 (why put the 14 in if its not a SMEAR JOB ? ) And if your intent is to smear did the girl say I think I was 16 or 17 and might have been 18 ? We will never know, but like I stated it was not uncommon for older guys to date younger women in the 70's. So this women then CAME FORWARD because the WAPO fabrIcared some BS, none of these WOmen stated that he did anything untoward unto them !! MEANWHILE CRICKETS on this PEDOPHILE Menendez who had sex with 15 year olds a few years ago.
Jason Ross	Muh bombshells
InnerMittenSignal	"Turning point?" I think what they meant was "Talking Point!" lololol
Ted Theodore	I pray someone will figure out how our society spawned these NPC people so that we can stop doing it ...
Alex Loiz	is the beginning of the END for CNN !!!
Andrew S	Suck it up left-wing liberals... just can't get enough of that FAKE NEWS, can ya??
Rob G	The stupid - it just doesn't stop,  make it stop, pleeze and svp too
Commissaris Kassaar	One has to be a bad loser to vote this down. 🤣
Ryan Ultra	*December 2024* "I'm starting to believe the walls are closing in on Trump's presidency, his term may come to an end soon"
Bimon1234567	I ran into a mudcrab, steered clear of it. They are foul beasts, though the meat isn't bad
Ken Ashton	Beautiful video = it's a a nice great reminder for 'who all the creeps are', and they really don't give a shit for the people of the country that gave them their ealth and fame, where to go for fake news i.e; CNN, politicians and the creepiest media presenters and 'so called' journalists I've ever seen in my 76 years. I hope people will rember who they are and simply ignore them, that should reduce their arrogance and ill-gotten fame and wealth.
eddie willers	So funny!
Vincent Graham	The beginning of the end of CNN and the democrats!!!
TruthSeekingMissile	Press F for Blumfph
perry mahaney	Parrots with their talking points
FarFromEquilibrium	They skip wash and rinse and just repeat over and over.
Quite Frankly	😂
Lenny in PA	Wish it was the beginning of the end for CNN and fake news leftist media. GMAFB already.
maillaarni	How many finished, beginning of the end is there?
tracksofnyc	All the world is against Trump, but he is still marching strong.  LOL
Christopher Seibert	I cant stop laughing
vuzgamma	Well, I don't believe in "the beginning of the end".  But I believe in "the end of the beginning".
Maurice Hendrix	SUPER DELUXE! WELCOME BACK! YOU WERE A HIT IN THE REPUBLICAN PRIMARIES BACK IN SPRING 2016. MISSED YOU.
sierra juliet	Mockingbirds
Maureen Barry Somerville	Ahahahahahahahahaha!!!!!  Pathetic!  Fake News!  🤣 🤣 🤣 🤣
Steve Martin	The media really sounds like a bunch of idiots !
nethermine_	why are is he only biast networks this channel itself is fake news
Oldie Sac	Fuck these assholes.  As you can tell it was only the start of the greatest President of all time.  All of these libs are full of lies and BS.
Uncle Freddy	You losers are out of your fucking minds.  Please move to N. Korea!!!!
Dario Martinez	Do they ever watch how nutty they are?
mcdouche2	NPCs everywhere.
Florpzor Son of Zorpmoon	HaHaHa! This video is so full of shit! Trump is doing just fine, morons! He's making the left freak out! Proof of that is this very video!
Bob Marley	Yeah, all this talk is going to make it happen just like they predicted Clinton was going to win.  Bahhhhhhhh... it's nothing but semi-organized chatter. Thankfully she didn't make it in, 'cause. we'd be on butt-cheese lubed hand basket ride to hell if she did. I mean we are screwed but it could be worse.
Etzerdlas Gaudistuben	m8s, why is american News TV run by underdeveloped chaps?
MoviesGalore1000	This crap is why Trump will win again in 2020 by a bigly margin. I can't wait to see all these liberal pundits go crazy with anger and rage when he gets re-elected. They will explode!
Heinzkitz Velvet	It's all code language. The beginning of the end, the tipping point and the walls are all closing in on the democrats and the fake news. And they know it.
Billyt	forgot the young turkeys
MOCOHO -JONNY	I just watched a segment on cable news pointing out how fake this particular video is. lib Tards need  to get a life. Lol.
Martha Thurston	appears they don't have a brain - just 1 script writer and they all mimic the same thing.
Nyrvachan	NPCs, clipped together by an NPC, living in a dream world. Trump will win again in 2020. LIVE WITH IT.
Terra Sancta	Coordinated fake news by leftist propagandists.
A Dawg	NPCs. Evil controls media and those with weak constitutions. I smell this (((evil's))) end approaching.
James Baca	Dumb liberal media
Brendan	Media personalities: *this is extremely dangerous to our democracy.*
christopher kennedy	ROFLMFAO @ Maddow beginning to resent the word bombshell
Matthew Janz	NPC much?!?
mikkwik	CNMSNPC
C M	LOL! Thank you. I needed this. Latina for trump!  Gonna go vote red in a few days.
Insert Redletter Media Meme Here	Jeb is a mess!
Barbara Daugherty	Polly Patriots
Michael Bye	These, boys and girls, are the elite dispensers of wise opinion in whom you must believe.
Thomas Buchovecky	Vic Berger is a bombshell
Im the Cain in the Box	Just an outstanding display of fake news
NPC SJW	IMPEACH NOW!
Codamonday	Donald Trump is Done  ???  I Don't Don't Think So !! " NOT If, " We, The American People " have " Our Way About " He is Just Beginning " !  And The Main- Stream Media , When It Is;  " Abandoned by it's Sponsors "  And Severed From Illegally Pilfered U.S. Tax Dollars , Will SOON, Go the Way of The ALBATROSS, And the Dinosaur !!!  RIGHT-ON !!! " I Can Hardly Wait  " !!!  How Right ON That Will Be [ Not " IF " But " WHEN " It HAPPENS ] !!!
podycheck	Only dumb people watch the news
Ubiquitous	It's almost like CNNPC and MSNPC pass the same script around
fishermanpete	Pro_15:2  The tongue of the wise useth knowledge aright: but the mouth of fools poureth out foolishness.
Phil Graves	Democrat men are all soy boys and their balls have been replaced with vaginas.
MaynardGK	Mock if you must, but the media do a very important job in telling us that Trump is finished and the country is falling apart and all the rest, because otherwise we'd go along in peace and prosperity having no idea at all how horrible everything was and how miserable we are.
Colin Williams	You’re great! Keep it up.
Mike Pippins	You will get war first.
haoconnor	is this a new drinking game . .  ..
Bill Limpert	Trump 2020! Living the good life. 😂
crazyman762	And the media is not completely biased against Trump.
Level !	Omg.  What a waste of 17 sec
Spoton	Its the end of ..... Fake News
nik Bahtin	this is not the end. It is not even the beginning of the end. But it is, perhaps, the end of the beginning of his presidency.
Cromulant Comments	Superdeluxe has an uneasy feeling that a red wave is brewing.
Michelle Passmore	You all CRACK ME UP LIKE ALL YOU’RE TEETH AND FACES. DID YOU ALL RUN OUT IF ADRENAL-CHROME QUACKS THE WHOLE LOT IF YOUR BLUE BS
Kevin Moore	I see NPC people
JimInNashville	The fact that these morons read the same line over and over with their mock-serious faces shows they have zero credibility.
Swamp Bleach	If I didn't know any better...I'd say this is the beginning of the end.
beanwithbacon	These people are not going to handle it well when they lose the midterms next week.
BigFreakingCacodemon	The wall is not closing in, the wall is going up
Michael Dickinson	Only the Sith deals in absolutes.
Matthew Rossilini	The fn idiots still think they are going to impeach him..... lololol
Jap Eye Jones	Democrats - when you don’t get what you want, throw the mother of all tantrums until you do.
Kocoa Simpsen	Oof
Image Bearer	FAKE NEWS
darclick	This is video is going to be 10 hours long by the end of the next 6 years!! Well done!
Will	It's almost as if the "news" is . . . . fake.
Aylon5D	Are the walls closing in?
Brian Sweet	Turning point
William Getty	Help me out. Do bombshells cause tipping points? Or vice versa? Also, do turning points cause walls to close in? The other way around? Have we progressed to the end of the end yet? Or are we stuck at the middle of the end?  Does anyone in the house speak Journalese?
James Ridgeway	And liberals wonder why everybody hates them? I think they know why...
Joe Blow	LOL! Those NPCs cannot stump the Trump!
Tamik A	Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News Fake News
John Doty	I think it might be the beginning of the end for cable news.  Just put this video in a loop and play it for the next six years.  Imagine what you would save on cable charges.
John Peters	You have just seen for yourself the results of artificial intelligence.  This is the transcendence of machine over man.  Or...the machine-mind over man.  (Oh, no!  They're caught in a negative feedback loop!  Da-dat da-dat da-dat da-dat, dat's all folks!)
Dude on a computer	LOL
Marcus	Two planes bring down the World Trade Centers. The news talks about it for months.  Donald Trump calls illegal immigrants criminals. The news bitches about it for years. YEARS.
Stew Woodman	The Orange monster is amune to bombshells and closing in of walls it appears, this is the beginning of the greatest presidency in American history!!
Count Nomis	This is priceless. Pass it around!
Swollen1	Best!  at 2:55  .  "this is a bombshell".  "It IS a bombshell!"
Karl Kastner	A Song For Maddow  (Sung to the tune of: Time In A Bottle by Jim Croce)  If I could save truth in a bottle The one thing that I'd like to do  Is to save every fact like a treasure and then With them, I would discredit you  If I could re-play your deception The false innuendo you spew I'd save every tape, like a treasure and then Again, I would discredit you  But there never seems to be enough time To catalogue all the lies you tell, once I find them.  I've watched enough Fake News to know That you're the one smart people won't waste time with  If I had a box of your wishes And claims that you said would come true In the box, would be plenty Stuffed full of the video clips Of you playing the fool  But there never seems to be enough time To catalogue all the lies you tell, once I find them  I've watched enough Fake News to know That you're the one smart people won't waste time with
Nette Paulus	Logic.exe app not found; loading script.exe
Karmic Reballance	"Breaking news Another bombshell from the White House This is the beginning of the end Today was a turning point, it's over..." Nobody wants Trump impeached. The media is making too much money. The Democrats want someone to make someone a target. Republicans are too dependent on Trump and terrified of him destroying their political career if they speak or act out. All you can do is laugh at the existential stupidity of it all.
pHIL gALLAGHER	Apparently, none of the experts monitor other "expert" commentary.  They all say the same things because they all think the same things. Or maybe they are just unashamed plagiarists.
Anne Bauld	what alot of hysteria  sounds like a lot hopefuls but not very intelligent. God bless President Trump
KHRISNA KHRIST	THIS MAY BE THE BEGINNING OF THE END FOR DONALD TRUMP
The Jerbil	Delusional​. Absolutely delusional.
tim3766686	Enemy of the people. They should all be tried for treason.
Donald Koller	Do these Borg know what the words they say even mean?
uncafunky1	I can promise you DT ain't sweating none of you fuggin ass hat talking heads. Y'all ratings would be in the toilet without Trump. He is so much smarter than you liberal DemoKrauts til it's laughable.
Mark Michael LePianka	HAHAHAHA!!!! KAG! 🇺🇸
william skrainski	I mean.....they have to know they look like total fucking idiots...right?
James Norton	Is it the beginning of the end....or the end of beginning....or beginning of the beginning...or ending of the ending?
Dirty Harry	Repeat a lie enough and it will eventually become the truth.... NOT THIS TIME BITCHES!
Jeanne Pence	#MockingbirdMedia so obvious here!!
A	Meanwhile WINNING!!!!!!! MAG
merlin ofcville	i think it was awesome..
Chris Barras	They are fucking retards. What at the end is the Democratic party.
J M	This presidency CANNOT last more than 6 more years. BWAHAHAHAHAHA!!!!!!
Steffbird	Real (mainstream media) life is the best comedy. If they even know it?
chairbottom	is this fake news?
Mark BERGY Baxter	*TRUMP MAGA,2020 BITCHES TRUMP AINT DONE TILL YOU   NEGROIDS ARE IN GAS CHAMBERS*  🙈🙉🙈🙉🙈🙉
Bille Wilde	it is kind of obvious who is "bombing" in the hearts and minds of the American people?
bharath bhushan s	This is the tipping point.
Michael Tidwell	Mobs of NPCs
Melodic Impulse	I'm missing the cut where Trump is laughing at the end
Pete w	Idiots.
Charlene vennard	Why don't they just call it one station...CNNBCABCBSMSNBC, 'cause they ALL SAY THE SAME STICKIN" THING!
Awai	NICE
Steven Wiederholt	What are they trying to say?
mac11380	An end after 8 years I hope.
smathus	Hilarious! The left is so messed up.
Werner Merkwürdigliebe	The mindless repetiton almost made me fall asleep.
The DA	Hyper exaggerating, hyperbolic, partisan dolts and idiots of the media. Lower than a snakes belly! Gutter dwellers!
Lawrence Keeley	I love it, THE MEDIA ARE GONNA EXPLODE when the red tide comes in a week!
TheMajorCatastrophe	They are good at staying "on message".
Dennis LeDrew	He is the ultimate, ultra, super grandmaster champion winner of victors. 😁
Berliner Stadtschloss	THIS Video is a bombshell - Jesus, how the media, left-dumb-dominated, are degenerated.
Bill MacQuarie	mmmmm you know this is serious when you see the creepy porno lawyer!
Vydio	Hopefully you'll continue to make these for the next six years.
Paolo Pagliaro	Of course, every moment is the beginning of the end; the problem is: when is the ending of the end? Because, if it's in 2024 then it's just another way of saying that Trump is winning all the way.
pancake rachel corrie	buh bye deep state
RAY T.	LOL!
Alice Despard	LMFAO!!!
Burt P	An EPIC Classic...On my saved list
SHIN AKUMA	Check out young turks... they have "Trump is done",  "it's over" and "resign" material also LOL
Hugh G Rection	The beginning of the end for Trump began at his swearing in and the end will be in 2024 when he is constitutionally required to end. In the meantime, suffer, all you fluff bunnies and I hope your suffering (unlike Trump's presidency) never ends.
Stuart Brown	😂😂😂😂😆😆
ImproveSynthSational	They still h ave the obi-wan amendement, the 22nd, it is their only hope.    Then again.... There is Don jr'
Some Rabbit	I can't wait until they start using terms like Stalingrad and Waterloo.
Evil Avocado	Imagine hating a president that literally causes an economic boom and proposing legislature to better the lives of americans, by making them overall safer, just because hes white and a male. That must be hard.
lynn pehrson	At least the rachel maddow showed some self awareness
Multilingual Mob	The lefty's love to corner people in. That's what they unfortunately do to control.  Don't let them corner Trump or YOU! Seek freedom citizens!
Michelle Stone	Whatever you are smoking, you should stop.
Ron Finley	Attention all NPC"S Breaking News!!!! Orange man Bad, Obama is Good, illegal Immigrants Good and Closed Borders are Racist this and more on CNNPC The Most trusted name in News!!!!!
Astro1645	Self flagellation of the Left.  Convincing themselves of what they want to hear.  Total Self-Delusion.
Loudrock	Libtard propaganda. Lap it up traitors.
Spaghetti Monster	hahahah this was a great video! Well done! It is about time that you drones pointed out your own drone-ism. Now the weak minded sjw mob might be able to see how they get brain washed.   • ᠌ ᠌ • ⎳ ▬  • ᠌ ᠌ • ⎳ ▬  • ᠌ ᠌ • ⎳ ▬  • ᠌ ᠌ • ⎳ ▬
Henry Swanson	It's quite disturbing that these talking heads just repeat these scripted phrases. And who, exactly, is writing the script?
J F	The Liberals are low info sheeple.  They have no idea what impeachment means and how it is accomplished.  I suggest you stupid Liberals read up on the impeachment of President Bill Clinton and get a clue.
Vicky Damota	Oh that mockingbird media. Such sweethearts.
Hal P.	It is almost like they read from the same script... Oh that's right they do..  hahahaha
Nathan Wahl	Hillaryous!!!
Jennifer Parsons	Let's continue to do nothing.
Survival of the Fittest	Everyone commenting in this comment section..thinking they made this video to make fun of all these people for being wrong.... *NO* They made this in angst. This is a super leftist channel. Oh the cancer they have put out. LOLsssssssss
Twisted Michigander	their programmers need to put a few more lines of dialogue in their coding...
MikeKye200	It's depressing that the NWO globalists have taken control of pretty much all Western media and are indoctrinating the gullible 24/7/365.
Madison One	🤣😂🤣😂🤣WTF America! If this doesn’t prove FakeNews, WHAT DOES!🤣😂🤣😂🤣
vConnekt	Lol I never would have thought to see this posted from Super Deluxe. Good stuff you crazy bastards.
ED Diaz-54	“Remove The Nationalist President” Not Good for America!
Eleivana777	Did all those people look like a bunch of retards or what ? And all saying the same damn things. HaHaHaHaHaHaha
GoldenKnight582	2:55 I'm deadddddd
mysterious stranger	Teflon Don Trump
Michael Lambrecht	The beginning of the end could go on for 6 more years, democrats just don't know how to fight the republicans and get this ass hat out of office and save America..impeach and lock him up
Fox Mulder	Irony of ironies?? Super Deluxe is part of Time Warner empire (https://en.wikipedia.org/wiki/Super_Deluxe ), aka REAL FAKE NEWS CNN's parent company. It's kinda like they know CNN's all bullshit.   xD
Erin Bethea	Bombshell tipping point 😂😂😂😂😂
Solar Wraith	The media is a massive collection of loons. lol  This video is proof.
Kevin Robinson	does anyone know if this is the beginning of the end or not?
les ferguson	One big NPC echo chamber
Jim Edward	I've heard this for two years . it's all BS.
johnny b	these people are crazy
Moji Moji	Great example of operation Mockingbird.
Jeff Norman	It's the beginning of the end of the Fake News!
Jim Regan	This is FANTASTIC!
Mr Holidayz	#NationalismNotGlobalism
English Bob 007	The bombshell is there's no bombshell
Danny Ashton	Oh ohh, could be the beginning of the end. Warra a bombshell.
stevethefishdotnet	I love it! And all the while, the God Emperor Centipede is laughing it all off and none of us care what these frauds are constantly whining about.
Toby Lee Schuring	Ha ha!  Not gonna happen!
Alphons Tjallinks	Hahahaha!
michelle katz	HA HA HA
Voice of Reason	A lot of us will never be able to look at the news the same way ever again.
Dr Chunky Biscuit	Just goes to show that NON, not ONE of these, knows ANYTHING WHATSOEVER about what they're meant to be experts about!!!
Annie1962	cross fingers
akaHermanSnerd	The beginning of the end apparently is a very long, drawn-out process.
Bud Wiser	The beginning of the end of the Democratic party!
Cynthia Foster	Give it a rest!
Know One	The beninging.... the beninging of the end
Michael Chiavaroli	Good job!
Racer X	This is the beginning of the END...No really guys seriously! no Joking. The tide has turned. Bombshell impeach cobbler time!!! really no kidding stop laughing at me really this is serious
ers1981	I don't care what your political affiliation is, or if you're completely apolitical.  If you don't recognize large corporate mega-media as a total joke, you are a chump.
Poor Man's Food Reviews	Make Sea Shells Not Bomb Shells!
Npc# 451420	That was a lot of real news and i agree,  orange man bad.
Amanda Crabtree	A whole new spin on the moniker "Parrot head"
Catalina Woody	NPC's for sure!
