Gogetag .C	Comment on fait pour avoir les médailles du Satan lr
TensaYTB	c'est quoi la musique a 9 min
CC pad chance ou pas	C PAS 1 KAMEHAMEHA LAIS 1 MASENKO
Nomis Hakai	6:04 t'as quand même réussi à confondre Hercule et Tapion xDD
[DCF]Skenium	Brice je suis content et triste j’ai farm 10 ds et j’ai eu un deuxième doublon sur zamablack moi je veux un nouveaux lr
Mystique-Man Marabou	tu peux la mettre 100% f2p grace au lead du great saiyaman LR meme si pas si interessant
DAZ _TTF	Çà commence à 3:05🤘
Manouk Jarekian	J'aime beaucoup quand tu nous aligne des team F2P comme ça. Continu comme ça 👍🏼
Mr. ToxicMan小さな毒性	¿ snoʌ-ɹǝllɐ ʇuǝɯɯoɔ ʇnlɐs
Nasake46	Il n'y a pas besoin de jouer Super Vegeto Endurance pour avoir un Leader Saga de Boo, il y a aussi le Vegeto pui gratuit. Ces boosts sont médiocres on est d'accord mais tu as dit " Team F2p " dlnc autant aller jusqu'au bout🤷‍♂️
LeyK	Dommage que cette team ne soit pas f2p car bon c'est bien beau d'avoir toutes les cartes f2p mais sans le leader c'est inutile...
Redelsou レデルス ツ	Le Satan LR peut partir aussi avec 195000 de Def. Explication. Après avoir vu la valeur de def du LR, qui est de 130000, il a juste suffi de multiplier cette valeur par le boost de l’atk spe ultime, qui est de 50%, ou de 1,2. En multipliant ces deux valeurs, on obtient 195 MILLE !!!!!!!!!
TheMegaHole	J'aimerais bien jouer ta team sauf que je n'ai pas le Gohan Ultime TEC...mais j'ai tout le reste 100% (sauf Mighty Mask END à 90%)
Antei	La vidéo du matin sa fait plaisir
sofianes69	Team F2P ? Elle est ou ?
Théo JOUY	Slt Brice fais une tram cyborg free to play avec juste un leader prenium comme tu vient de faire avec la saga de buu
Zoia derlir	Moi je me attendait a une team f2p saga de buu dans le Vegeto end en ledeaur
nono1980 TTF•NoNo	Vivement son dokkan sur la globale je l ai avec 2 doublons.
thomas4576 carre	Brice le vegeto end a le lien fonceur .
Gneu	Salut on peut se faire ban si on mod au battlefield ?
Fire FireFreeze	J'attend de récupérer mon compte avec bandai namco, si ça marche, j'ai drop recement bardock end lr donc croisons les doigts
Dryzery	Merci pour la vidéo
Super gold Z	Tu peux me dire comment tu fait pour faire des video sur dokkan battle. Je sais que tu utilise la fonction capture vidéo mais comment tu arrives à filmer ta tête
Failman	Moi j’ai décidé d’arreter Dokkan
BUCKET KFC	Team nuit blanche + notif discorde
Tatsuya Kuroko	J kiff tes vidéos des le matin
Son Kamina	Level 497 ?? Tu as pris un compte à quelqu’un ?
Warsajeff	Fais gaffe Brice, t'as mis 3 unités qui sont pas F2P dans ta team x)
Jarod Zéro	Je l'ai aussi avec un doublon, bon TUR du tournoi en effet. Merci pour le test Brice.
Makhynb	Team 6h30 + notif discord
