AKiMi KeNjI	cutie
Angelica Vega	Jajaa Ahuevo xD
andri gamer YT	Havana en a chile pero a Valparaíso plizz❤️❤️❤️
Ivanna M.G.	Por que no esta el clip de "la vieja esa si va a cantar el día de hoy"?? 😡😡
Kensy Diaz	:"( lástima que no venga a Honduras :"v 💔 ME PARTE
Nadia Hassan	I love that she considered the fact that not everyone can aford meet and greet tickets and the whole roses thing is just soooo sweet❤️
Stephany Cabello Jauregui de Mendes	The best girl on the world. ❤
Esmeralda Ruiz	y yo que crei que iba hablar en español :/
Thaddeus Ip	How long did you hog the bathroom? hahaha
suicide at best	Yes Mexico por vida 🇲🇽
Pavan R	BEst Singer EVer...
Raj Swarnkar	Ohhh 😍😍😍😍😍 no comments just speechless 😍😍😍
Jennyka H	Love you Camila!
VTB 11:11	🇲🇽🇲🇽 viva México
Monali Shah	I love you camila 💕💕💕
Angela H.GVevo	2cd   ( ͡◉ ͜ʖ ͡◉)   I love you so much  So proud of you  #yourbiggestfan I love you I'm Mexican to but born in America i love you so much please come to Sacramento
Anna Mei Christensen	Camila  I am so so sooooo SOOOOO proud of you ❤️❤️❤️❤️
Delfii Márquez	El subtítulo mija
Pau S	Our mexican queen 🌹🇲🇽🌹🇲🇽
Kathia Herrera	#camilaREBELAtubisexualidad
Jony Herrera	#camilaREBELAtubisexualidad
Asmita Krishna	Why don't you do a concert in India?Looking forward to it in the future.
Dusty Dusty	BEAUTIFUL , best of Mexican and cuba
Park Minnie	Creí que saldría parte del concierto en Guadalajara, lo único que ví fue el letrero de la carretera, jaja.
Jisandra Ferreira Barroso Barroso	C ❤ C
Alicia Hernández	Owww me encanta❤🇲🇽
Adhia Putra	Next asia tour save #indonesia
Light one	Hey sexy, ya you reading the comments
just just skyekimi sassycat143	te quiero mucho Camila...
David Alfredo	I will marry Camila Camellia any day
Vanessa Flores	Por Eso amo a Camila ♥️
Btt Castro	Camila pls lisen to to my comments my sister loves you she really needs help pls respond
valeria garay	Qué dice al principio?
LYRIC IT UP	*India is waiting for you ;-;*
Claire P.	LOVE THISSSS
Defne Mutlu	Turkish Camilizers 😍😘🇹🇷🇹🇷
SOFIVALE jIMENEZ	Ahí esta el matt jajajaj, pero ya hablando en serio que bonito sinceramente que haya alguien que crea en nosotras en especial ya que uno ósea si sabe que puede llegar a suceder pero no se lo llega a creer pero  alguien como ella que realmente crea en nosotras bueno al menos para mí es súper bonito y me da esperanzas ya que uno como joven tiene sueños pero generalmente todos a tu alrededor en especial los adultos te dicen que no llegarás a nada pero esto me da esperanzas aparte de que solo me lo dice mi mama y mis amigas de que puedo hacer algo bueno en mi vida ❤️❤️❤️❤️❤️❤️❤️❤️
Luana Paixao	Mexicana mais linda de Havana, i love u Mila so much my inspiration
Charles Knight	You are my all time favorite singer and you also inspire me to chase my dreams. Whenever I feel sad I listen to your music and that lifts me up and in my opinion you where my favorite and  you where also the best in fifth harmony.
Zul Limo	You from mexico ??
zosijja 412	I love you😍
Ximena Mendoza	Bueno mi papá me dijo que hiciera esto así que... aquí voy supongo, bueno primero que nada yo te amo mucho Camila eras la mejor de las mejores no sabes cuanto te admiro ❤️😞 de echo estuve en tu concierto en Guadalajara y pues cuando te vi cantando con el mariachi de Guadalajara empecé a llorar por qué pues mi papá trabaja en un mariachi y pues parte de ese mariachi eran amigos de mi papá yo lloré mucho se me partió el corazón 💔 yo le conté todo a mi papá y pues ya le dijo a mi papá a sus amigos y yo seguía llorando por qué pues me dolió sabes de que yo estuve a un paso de conocerte y yo me imaginaba conociéndote cantando contigo muchas cosas y pues me dolía por que me quedé con las ganas de conocerte y todos los días pensaba que mi papá hubiera tocado contigo él toca el arpa hubiera sido uno de los más grandes sueños cumplidos....  la verdad si tengo Fe en que vas a leer esto y me vas a comprender pero a ver qué me depara Dios... de echo empece a llorar en tu video por qué me dio mucho sentimiento se que del 100% podrás ver este comentario sería 1% pero ojalá lo leas y lo aprecies tanto como yo te aprecio a ti ❤️ y por favor no me vayan a tirar hate se que dirán que es por llamar la atención pero no y no es por presumir pero se vale soñar puede que Camila vea este comentario o no pero lo hice por qué tuve fe y esto no es Fake esto es 100% real ❤️😞
raxnboz	She is so happy I’m so happy
๒єภןค๓เภ คยคкเภ	Omg sali en el videoooooooo *-*
ThePyrusDragoJ 2269	🎸 I I L I LO I LOV I LOVE I LOVE Y I LOVE YO I LOVE YOU I LOVE YOU S I LOVE YOU SO I LOVE YOU SO M I LOVE YOU SO MU I LOVE YOU SO MUC I LOVE YOU SO MUCH I LOVE YOU SO MUC I LOVE YOU SO MU I LOVE YOU SO M I LOVE YOU SO I LOVE YOU S I LOVE YOU I LOVE YO I LOVE Y I LOVE I LOV I LO I L I 🎸
eliza foley	...matthew made me vomit
姚玥妤	gustaaaaaaaa
Bianca Alexandre	2:01 oh, why is it the first time I'm noticing Mathew in this picture ?
Jane Mulder	Seriously you were so close to my countries border. We are right next to Mexico. We are in Central America. It is not Guatemala
Darely Ramírez	La amoooo💓❣️😍
fluffy scorpio	God, I can't wait for you to go to Asia! 💕
Edgar Ivan Aguilar Algarate	😍😍😍😍😍
Jaz Vargas	Sólo diré esta vez gracias por existir Camila Cabello😊
Raven KS	Waiting for the Brazil Tour Diary!!!!!!!!!!!!!!!!!!!!!!!!
