savi ravi	Robin boring style
local boys	Super movie
m lalitha	I like Tamil movies more than Telugu films
Rupesh Kumar.R Rupesh Kumar.R	Vijay  Corruption actor tamil industry
ARAVIND PERUMALLA	Superb
Sandeep Vastadh	Super movie
G y k naidu G y k naidu	Jai janasena
Dinesh Dinnu	Superb  movie
suraj veer	Superstar
pooli ramesh	Super
nagupawan rdm	జై జనసేన ...
Kogatam Marshal	Excellent excellent excellent.....movie
madhu madhu	all the best #Vijay sar from @@#AlluArjun@@ Fan's💖💖
Venkat Naik	Jaipspk
MAHANKUDO DEVIPRASAD	real truly pawan kalyan
Monu Yadav	Blockbuster im big fan of Vijay Sir
GK Creations	All d best Sarkar team from Pspk devotes💕💕💕
VISHWANATHA K	ilayapathi cinemas also super
Padmaja Nandivada	Movie on vote and cyclones...superb
cinema videos and cricket video	Who watch sarkar Telugu movie...like here how is it ??
Raghu Vardhan	What a movie super........this story very much opt for powerstar for his political career....... super
Abdulsk Abdulsk	Best wishes form prabhas Anna fans
Ramesh Atla	All the best vijay sir....from pspk fans
G Raju	Supper movie
naveen pritham	Telugu lo 2 days aduthundhi movie...
rajashekarar Emmula	Edchinattundi
K K	Murugudass fans👍👍👍👍
