Ruth Juarez	20M!
Kiki	This is my first time listening to this even tho I’m a monbebe I’ve been busy and keep forgetting i regret not making time for this is amazing and so I’m happy they’re finally getting the attention they need and deserve
jackass gabriel	nice mv so many topics, its dark and magical.. 👏🏽👏🏽👏🏽👏🏽👏🏽
Hyungwon's legs are longer than my life	TAKE ME I AM YOURS PLEASE
Nicole Kim	Am I the only one who recognize The White Mannequins from the No Mercy Era??
katti katt	Me salio de anuncio la versión que hicieron con Gallant, y crei que me equivoque de video 😓.  Monbebe!! Sigamos apoyandolos hasta el final 💕💕💕
Haru M	WOOOOOOOOOOOH
Kim Vlia	im chang kyun💋💕
RoséTheRosé	Omg I am really like it's :D
Jung EunByeol	Hyungwon♥
Elizabeth Sánchez	Monsta x
Luan Silva	alguém do brasil ouvindo essa música linda?
Pink Jinny	I love Shownu♡
Carlesious Davis	Gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaayyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyyy
tE chupO la orejA	Godsta X. 💞💞💞💞💞💞
MONSTA X I LOVE YOU	Aaaaaa QUE SEXYS LPM DIOSITOOOOOO
JIMIN THEFLUPPYBALL	💕
Nickkolly Oliveira	Deuses  BR
Alissa Dearth	My God, I'm in love with this song!
Fathiya Ihsani	too precious. i cant handle this
Jimena alfaro	1:52  Nancy! :0 okno xdxd
Lynn Williams	Holy hell WOW!! They do rude so well!! They look and sound fantastic!!
Beatrice Erstegottin	Plot Twist: This actually how life during AMC's The Walking Dead at South Korea.
Ohmykyuness Kkukkungie	They waka waka waka to my heart
YaYa Martinez	finally 1M, I'm starting to think that youtube has something against monste X..... every come back their is an issue with the views
justakpopmeme oof	I.M JungSHOOKie
Monalisa BTS Carmo	I.M❤💕
Bella Rodrigues	YOUTUBE DESCONGELA ESSAS VIEWWWWS
Lauren Baylon	WAKA WAKA WAKA GROWLING WAKA WAKA WAKA
jimins jams	The rap parts all killing me!!!!😭👍👍👍
Ana Ivon	¡¡¡10M!!!  OMG 😍
Sg__Vazitho 7w7	MIERDA CTMMMMM
Lorena Espina	GOD DAAAMN YOU ARE AMAZING
