Madhan Hunt	#wearesupportvijayanna 😎
Saran Vijay Addictz	Idhu Thalapathy In Sarkar 😍🔥
Thydyarishni Muniandy	Movie semme mass..vere level😎
Roni Mir	Hindi main ye film dubbed hua hai?
TREND	Not new routine story
Sachein Ganesh	Amazing Teaser from Thalapathy Vijay and AR Murugadoss. I am waiting for The Movie.
Radhakrish radhakrish61	Sarkar pidichavanga like pogunga
aswak nawaz	Super..ithu Namma SARKAR...😍😍😍....Waiting eagerly...
Dynamo DZ	I am actually from Karnataka but I love Vijay movies because  Eeddad nam sarkar
mr. darling	Thalapathy da
bharrath adithiyaa	Mass
Michael Raj Vijay	Verithanama,🤔🤔🤔🤔🤔🤔
Mathavan Retty	sarka
Guna Kumar	sema geth
Rajagopal Acu	Semaaaaaa thalapathy
GK Lokam	മലയാളിക്ക് ലൈക്ക് അടിക്കാനുള്ള കമന്റ്.
Manish verma	Better than THUGS OF HINDOSTAN 🥂 Love Thalapathy Vijay❤️
Puli Dinesh	hai
Dhinesh Harish	Ennaiku  yana nal kutty Diwali get READY guys
vijay fanz 1.4M	This week end sarkar viewers like here
Roman Roman	Iam  A Corporate Criminal 😍
NITHIN MD	Love you Vijay 😍
Jithin N P	Thalapathy da
Surmang Tsang	story is interesting based on Tamil Nadu politics .. but sorry to say , hero looks pretty cheesy and babu face , and action scenes were way too far over , I know he is super star in south , but its tooooo much & over acting like always do in South Indian movies . eheheheheh my goodness.
Jegan Pandi	Vera levalllllllllllll
veena mary	Sarkar is super
Vivek Yadav	Who noticed virat and anushka 1:01?
Sleek Tech	Samsung Foldable Phone watch now
Arun Kumar	மெர்சலா இருக்கு
Bharath Themass	Who all watching Sarkar teaser🤩 inspite of this ongoing controversies of political parties..
alone heart	Hindi dubbing
Srilakshmy Jayakumar	Love vijay
Kamar Deen	today sarkar teasar watching   like here
Tech HK Malayalam	Good movie...great social message.... every citizen will realise their power in democracy...Excellent fight scenes....vijay sir is awesome and next level
Ranjeet virat	Awesome hai bhai
GANESHKUMAR S	Chief minister vijay heart and mass Mass Mass effect vijay chief minister
Aru Kannan SK	❤️ ❤️ Sema Anna
Bharath M	Like for corporate monster
Premla Thanimalai	The movie was awesome
Dinesh Dinu	😍😍😍😍😍
Malarvizhi Jayakrishnan	Who are all here after watching movie☺️☺️
Movie Buff Malayalam	Tomorrow Diwali🔥 Sarkar Day🔥 Get Ready Force🔥
Kumar Ravel	Storyline seems very predictable.  NRI comes back to india to vote and cannot stand unjustice. So he jumps into election and defeats the bad person. The end. Any other suggestion?
Raj Gondi	Section 49p
Durgesh Yadav	Super hero
AMK 3853	whos from Sri Lanka!
Mokka channel	Vera level 😍😍
L Kumat	kumar kumar
agarshan balan	Download Latest Tamil HD Wallpapers sarkar wallpapers are also available  https://play.google.com/store/apps/details?id=com.TolKap.agarshan.tamilwallpaper
Raki Sne	Simply expected  it's  not good enough
Muthu Muthu	idhu vere level
divakaran CP	Nice movie
Vinoth Kumar	Mass sss
Sk Jezzy	Semme smart vijay 😍
Arunasala Kumaran	Marana mass thalaiva
Krithi Krithika	😊😊🤗🤗🤗🤗spr
meer ikhlas uddin	Padathula scenes remove pannama 200+ Days theatre la odanum nu aasai paduravanga like pannunga
rose vijay	pakka mass teaser 👌👌👌👌
Baskaran Karan	Super
kavinesan nesan	Mass
Nithya Prem	Any one there
Praveen Kumar	Ithu than Thalapathy Sarkar 😍
