Analyn Rosales	Upload nmn ng epi 2 pls
Leleng Torrino	Whre to watch para sa abroad team?
Mercy Tanaami	Bakit wala pa pong nag upload ng daddy’s gurl? Pls po.
MARY ANN	Go girl love yah ..GOD BLESS
Trinch	https://youtu.be/_Zty0cxOn54
elay kho	excited na ako.. yung netflix stop muna pag DG...yaaay....miss ko na twitter party..
Marjorie Angeles	#KapusodAbroad 😍😍😍
Sinojhunly Ximponlin	Hahaha nkakaloka talaga si yayadub and Maine mwah mwah mwah
Mercedita Ramos	Excited na poh ako Makita Daddy's gurl ..Lodi main bossing Vic n to all..god bless 💞💟💝💞
Grace Beattie	excited for this., kakatuwa ang cute lang , mukhang kwela kwela si Maine and Bossing and Wally., pero sana may pa replay., di ko sya mapanood, team replay here., time zone problem :(
john tin	wow ganda
Yolly Varques	Mengggggg 😘😘😘
denisse x	Kapuso?
Mar Chesi	We love you Maine! So excited naaahhh!!! Hahaha
juvay Torres	Excited na AQ sa phenomenal star..meng ang ganda! Kailan na ba magsimula yan?
Esteban Furuc	hahaha, ang  cute  cute  mo talaga Maine Mendoza, grabe galing, tawanan  uli  tayo mga  kapuso, hahaha, love you Maine Mendoza, Godbless you always...
mangdannyboy	Looking forward to this. Sayang lang, hanggang sa YouTube lang ang pagiging HD ng video clips nitong “Daddy’s Gurl”. Hay, GMA, mag-HD broadcast na rin kasi sana kayo para hindi napag-iiwanan ng iba (lalo na ng kabila).
Lerissa Palattao	Cant wait to watch Ms Maine & Bossing
WeirdWitch	I really cannot wait to meet Stacy and Barak Otogan and the rest of the Daddy's Gurl cast...
Ritz Cortez	Yehheeyyy ilang tulog na lang may stress reliever na ako,...I❤U menggay!
Evelyn Dela Cruz	Hindi po Kapuso si Maine. Isa po siyang Dabarkads. Wag magpakaplastic GMA
joel doroja	Ayan na sya!
Gail Irene Quiatzon	sooo excited na😊
Felicidad Mendoza	Sabado na excited na
Memorie G.	Soooo Excited 😂😂😂
Jhon Marck Manalastas	Oh my excited na for this show mas maganda to kesa sa VM
SwèéT  Bitës	Can't wait. Is it Saturday yet?
Totie Cuevas	Eto panalo
bizcuit09	Excited na ako
Joy Franco	Super excited for this! Pwede bng  iiizzz-tteeeyyy-zzziiii na lang.. hahaha.. i miss the sossy Meng. 😍❤️
ledz darapieza	😂😂😂😂 Her forte! Finally!!!!!
William Glover	Wow
Kaye BaeTisoy	Galing ni Maine ❤️
Joseph Jowen Oliva	ahahahaaaa.....teaser palang ,ang dami ko ng tawa ,sana Sabado na ,excited na talaga kami
zuh g	Kakaexcite nman toh.jusko sna may LS
mec1695	dabarkads po siya...
Noemy Gregorio	😘😘😘 Maine Mendoza 😘😘😘
Aprilyn Riodeque	Sana mapanood ko dito SA Kuwait
Kk Kk	Ehem ....The Phenomenal Star!!!
Koy Salendab	gondo the accent
sarina flores	Excited much!!!❤️❤️❤️
Merly Lucero	Ganda pala ng name nya linumaang name..cute cute..sana po my apolad sa youtube para sa mga ofw like me..
rochelle espinosa	really kapuso star? pwede nmang phenomenal star lang eh.
helen zapanta	Excited na
Maria Krishna Callene Almalvez	Ang cuteeee. Super excited
rachel oresu	correction d po sya kapuso dabarkads po sya...inangkin...
khristal	APAKAKYOOTT HAHAHAHA
Diana Equipado	Ang ganda nito for sure❤❤❤❤
Maria Isabel Actub	Cannot wait for this, Menggay!!!!
Charmaine Orivida	Ala e ka tagal magsabado.
Elsa Mondidu	Super excited na
elena vista	Ganda xcited na
