Lovely De Guzman	Full episode nito 😢😢
Rosejyn Estorpe	Monken😍😍
nery Rosales	Guys sino may full video, upload naman please!  Thank you guys
민 라ᄉ힌	Hala ka yieee nafa-fall ba si monica kay ManiKEN
Maronie Aoro	Waiting wansa maniken ni monica hahaha..
Kriston Diga	Sa totoo lang masmaganda eto acting V kaysa K and M grabe lapit na mag 1million views na how many days lang
Shafina Guimbang	excited na  aq  kakilig  ag  kiervi
Excel Rubio	Kiervi super excited na ako sa linggo
Aiz Avetria	Ang cute ng pairing nila Ken at Monica
Renilda Demetrial	💜💜💘😘
G Celestial	MoShi! Monica and Yoshi!
Pogi Kho	edjonmrak1999 14
LoLa Riri	Feel ko si Ken and Monica magkakatuluyan hahahaha
Fin Eight	kaabang-abang talaga ang episode bukas ayeeeeh KierVI
yumi muktar	Sana next upload full episode naman 😊
Jhezza Romano	Vivoree and Ck KierVi💜
Laging Nasasaktan Sa Pag Ibig	Excited  na aq  sana  Sunday  na nakakabitin hehe
Visitacion Molinas	Jusko po Rudy! Can't wait! My KIERVI 💜!😃💏💋
Forever Once	Team Monica at Ken ako ngayon hahaha
Robilyn Degamo	Excited 4 dis ep
Nillyn Gobrin	d muna me magsusumba sa sunday kc kasabay ung maniken ni monjca importante mapanuod ko ang kierve ang galjng galing na ni vivoree sa acting nakakatuwa xa tlg panuorin akala mo hinde baguhan kaya nia makipagsabayan sa mgA sikat.
Aniz Lim	Yesssss kakaexcite
Ronefe Cahapon	Go kiervi
Diane Lane Arribal	Ken and Monica pls.. <3
fe erasga	Excited na ulit ako mapanood si yoshi ,ken at monica.. Grabeee sarap panoorin at super ganda tlga.. Kung pede lang sana araw-araw..
Carmen Ligones	Ang ganda mo Monica, ang galing galing mo pa pa.
Juvy Roa Galao	Selosan na s Sunday..haha Oh ano Yoshi,ung tropa mo mukhang ddiskartehan ata c Monika😁😁😁 #KierVi naadik n aq s inyo💜💜💜
Kristine Marie Ador	Kaabang abang nanaman to!💜
Aizel Ancheta	Hala si Ken tinapon 😱
Louise Garcia	Ako lang ba? Pero parang mas bet 'yung pairing nila Ken at Monica dito kesa kay Yoshi? 💖💖💖 Cutie nila huhu.
Karris Esteta	Kakilig Moshi
Jaimelyn Catubay	The smirk 😏 yiee more MoShi scene na 💜💜
Joyce E.	Yay!!! This is it!! Moshi moshi😍💜
Julie anne Francisco	Excited na.. sana sunday na para makita ko na si Yoshi at Monica.. Moshi.. 💜💜💜💜
Kimberlye Sartorio	I can't wait.... Sunday na please. 😍
Ericka Malaya	Ganda ni ate v❤❤❤
Gloryvic Baguil	Yes! exciting....💜💜
Gladys Rhea Polinar	KierVi 💜💜💜 sobrang excited na
Jenelyn Donor	KierVi😍💜💜💜
Jonaly Tabasa	Kiervi lang sapat na.hehe...
Haydie De Chavez	Excited much this coming sunday abagers na kami Wansa from. LEBANON
frietzel orbeta	kaabang abang!!..💜go kiervi..
Cherry Dayuja	So excited
Janilly Tuico	Excited n kmi ...Moshi... @Ck and @V... KierVi💜💜💜
mary letran	Moshi/kiervi lng spat n
Angelica,Angelica Bongais-Rona	MONKEN ,HINAHANAP NA NI monica si Ken Ayiieee   True love na ni Ken Si Monica. 👫💑
Hannah Mae	exciteeeed!!😍💜
saiman didaagun	Kawawang ken, tinapon😅
KierVi LoVeR	Excited na ako sa MoShi Moment😍😍💜💜💜
Renato  De Castro	mas maganda pa ito sa. VM. thorthoran total basura. may pagka. Dr. Strange lang
julie santi	Keirvi so cute....aabangan ko episode na ito. Vivoree ganda na talented pa...sisikat lalo siya for sure.
beverly mariano	haha halla tinapon ni momi c ken hehehe
April Sabaduquia	Woow excited na maglinggo
J E T T KierVi	EXCITED NA KAMI SOBRAAAAAA !!! LOVE KIERVI SO MUCHHHH ... 😍😍😍😘😘😘😋
mheng hamid	yes yes ma inlove na si yoshi ky monica..
sboudreaux27	Taking things too far.
Cesarina Ayon	Moshi😍💜Ganda mo V😍👏💜
Pinang inEurope	La tinapon si Ken! And uyy maffall na si Yoshi sa ganda ni Monica 😍💜
Max and Daisy	Daisy: Go pee!
iamcaptain v	Monica and Yoshi 😍💜
