raj kumar	Anbu nee va Anbuuuuuuuu
ELAVARASAN 821	Dhanush is a mass hero
Swathy s	Dhanush💋💋💋
Darshan yash boss	vada channi new muvi Kannada boys  super dhanush boss love u
Raja Thangaraj	Theri BGM
varadha rajan	Bgm sema...
Mehta Avneesh	3.75/5 The story narrated in style of 'chapters or topics and the whole setup   of the 80's Chennai to the near present makes me comment that thus is the Sacred Games of South !!🤨
AKMH7	One of the best tamil movies I've watched in years. Tamil industry is going in the right direction.  Whole movie = mass 🔥🔥🔥
Manju Karthik	Dhanush sir Beard look is mass in movie
alenn mosses	The best teaser of vadachennai.
Thala Allen	Apart from dhanush...kishore stoles my heart
priya priya	Ilaya super star danush massss hero
vijaya Vignesh	Padam tharu maaru
Nisha M	Marina. Mass. Dhanush
V viji	Movie super waiting for part 2
arutperunjothi vallalar	mass mass mass Vera level padam pa
Subbaiah Shanthi	Padam pathavaen like ah podu🔥🔥🔥
Alisha kurian	Mass dialogue amplified by sana’s music
Muthu Dhanush	Sema thalaiva...
Srikanth S	mmmmmmmmmmmmmmmmaaaaaaaaaaaasssssssssssssssssssssuuuuuuuuuuuuuuuu
Fayaz Thalapathy	dhanush sir pls release one more promo
koki arun	Bgm woowwwww
I'm Idly	0:11 That walk 🔥🔥🔥
SHIVA B	guys ipo tha padam patha padam Vera level Allrum poi parunga adukalam dhanush back
Bala Prakash	Super mass Dhanush Anna 😘😘😘😘😘😘😘😘😘
yasar hussain	Which song is this?? In the film
Umesh Anand	what SANA scored? phew get ready folks! Tomorrow morning :)
Abhiram Pm	Nale paka pore da
Alb Jack	வெற்றி மாரன் fans like here ❤️
jali mali top tucker	Bgm super
Annamalai Gideon	What a BGM...
Aravind Thirunavukkarasu	Ultimate bgm ya cha chance less samma goosebumps how many times I see mass ya
Shoot One Boys	Bgm massss vara level
sharath kumar	Expection level is so high....
Huawei Mate10	Ready for national award
Sridhar P M	National Award Get ready 👍
Sharath S	Nice BGM just loved it
