Imani7361	I,have a blizzi 4 pt
Kameron Baker	Can you do A good impression of snorlax and hardbound.
playing with logan	Hey aldallah can you trade me a level 99 yokai
Scooterdude 2342	Yay my theme was made
Cat From The Future	This might be the best video ever seen
Alex ZGames	SMOOSHED
Luminous Arc	What about making a team from one of the completed circles?
shinobi gamer	Can u transfer yokai watch psych specters or blasters data into it?
Neil Nexus	4 usapyon vs captain thunder and pink emporor
Alexander Williams	QOTD 4 Jibanyan B vs. Ultra Red Paws 4 Komasan B vs. Ultra Swirlious Omai 4 Usapyon B vs. Ultra Captain Thunder
4n0N1M0us 23	Soy de España 🇪🇸 y me encantan tus videos.       I'm from Spain 🇪🇸 and I love your videos
Abbina L	I was at the stream! Thanks Brent for joining the stream
Theo walters	Opposite team: damona dromp Gargaros and dismarelda edit that was strange Sargent burly spoke to sgt. burly🤔
Arceus3398	Four Wantston vs Ultra Hinozall
Yolanda N Cruz J	That was soo cool and fun ^^ srgt burly is great, talented and he's also steppa xD, thank you for the summonings 😍
Janmikegab Barron	St burly
Rosekiller 84	QOTD:Do a Halloween theme team or a yo kai watch mascot team!
fireman burn	Any nyan thats tecnically jibanyan
Al Lup	Jibanian
Nickle Guy	Nice to see burly not trying to make me go deaf!  QOTD: 4 gutsy bones vs all ultra bones bosses
Radical K	Signiton thick mouth
Nadia Castro	Robonyan vs robonyan 28
BigOof	Remember burii taicho (dont know how to spell it)
JOSÉ LUIS RODRIGUEZ SR	Pls tell me u did jibanyan
Beatriz Sánchez	I was suprised to see him   QOTD: can you do Goldenyan vs Golden Claws
1UP inc.	Quick question, when do you plan on doing the hidden mansion?
Keith Samuel Ang	How many yokai do you voice
TheJMacLean	Thank you for this stream. It was really fun and so cool you got Brent to join :-)
Francisco J. Soto	o can u do 4 cats vs rubious j
Kripdome 777	Hi Abdallah I have an idea for a team battle  It's Jibanyan B Abodabat or hidabats evolution Impass or noways evolution and Mr. Sandma or sandmeh evolution  If  you didn't notice it's the team from the beginning of the game but evolved  Thnxs for reading
dededelete this	How about the starting team vs shogun king?
JGLF Dragon	AND THE ZOMBIE NIGHT IS IT GONNA BE EASY
Jessica Lauren	Sup man, tell Brent I said hi while I'm watching this and did you know that he's my Facebook pen pal.
irn bru fan	4 jibanyan vs ultra rubues j
James Galea	Brent, that was so awesome. How do you do that.
Mister Layton Gamer	4 Usapyon (Normal) vs Captain Thunder ⚡
Sinjo Kautz	Can you please do 4 Gutsy Bones vs Ultra Gutsy Bones
Tony Ayala	No offense Abdallah but his recent haircut makes him look more handsomer
Diego Guillen Albaiceta	8:54 Hey, wait a moment! Double Blizzie! (I'm sure Jibanyan would enjoy this...)
little cato	How about Nathaniel 's theme ( pallysol, mermayden, hovernyan,gnomie or you can also couse furgus or faux cappa ) vs dame deadtime
Superguils 2006	How do you create the hellhound buble?
MS8	Hi
DatfaceddoeThe2nd Aka The Master Of Kirby	in todays episode, abdallah gathers the retired legendary blasters...but wait..THERES MORE! He has gotten a super secret guest, the legendary Brent Pendergrass!!
The Blue Raptor	4 random Jewelnyans vs Ultra Paws and Golden Paws
mudkiptheprogamer YT	Can you please do a team of usapyon against U. Captian Thunder Then usapyon B against Pink Emperor
Muffet fan	4 Goldinnyan's Vs golden claws
Blue Boi	Why didn't you use  mr.happiere and boss signiton
