video_id,channel_id,view_count,like_count,dislike_count,subscriber_count,comment_count,like_dislike_count,log_like_dislike_counts,log_view_count,log_subscriber_count,log_comment_count,ratio_like_dislike_count_view_count,ratio_view_count_like_dislike_count,ratio_view_count_comment_count,ratio_view_count_subscriber_count
#NAME?,UCuzpLu8YREpSs5ADAySZVYQ,352107,3780,52,584,282,3832,3.5834255,5.546674659,2.766412847,2.450249108,0.010883055,91.88596033,1248.606383,602.9229452
0b_EOX6g6i8,UCKnnee98ihoTszlL_G6tQ6Q,267583,7725,283,79947,0,8008,3.903524064,5.427458519,4.902802172,#NUM!,0.029927163,33.41446054,#DIV/0!,3.347004891
0DraOTfGi5A,UCqtc118chzxCUJExjeWbeEA,5027,19,0,41569,6,19,1.278753601,3.701308885,4.618769577,0.77815125,0.00377959,264.5789474,837.8333333,0.120931463
1EhmRpLd0bA,UCMlnZ4ZM2RgPnFzkBdMgnSA,78,8,1,1184,5,9,0.954242509,1.892094603,3.073351702,0.698970004,0.115384615,8.666666667,15.6,0.065878378
1K1W7NFhcUc,UCoZXzeOEtomauxdqLbRlAew,4197,154,1,1172,61,155,2.190331698,3.622938969,3.068927612,1.785329835,0.036931141,27.07741935,68.80327869,3.58105802
1ngQupA85J8,UCyE4PQiQjIVpBqhfigUYtTg,852,64,0,60698,6,64,1.806179974,2.930439595,4.783174381,0.77815125,0.075117371,13.3125,142,0.014036706
3dCmroOoXAg,UC69YYWvWloLRgnNTMVCEUNA,2029,292,3,49704,22,295,2.469822016,3.307282047,4.696391341,1.342422681,0.145391819,6.877966102,92.22727273,0.040821664
3fdCa3SqYF4,UCH7AVgQY6Y3J2pCz_hsyJvQ,6975,340,3,5514,36,343,2.53529412,3.843544212,3.741466762,1.556302501,0.049175627,20.33527697,193.75,1.264961915
3ps2LWrxWa8,UCHL3Y--fCZ1E3GtUxLVVQrA,81707,710,28,965,73,738,2.868056362,4.912259265,2.984527313,1.86332286,0.009032274,110.7140921,1119.273973,84.67046632
3sRA4CM5c2M,UCGnVZxfYdgc2aUbPGAkEfdg,66573,4703,7,56865,323,4710,3.673020907,4.823298128,4.754845043,2.509202522,0.070749403,14.1343949,206.1083591,1.170720127
4hoDwVy6IQ4,UCUmC7gXciukRv73CQRQ5QGQ,1616518,110599,3326,1744121,7626,113925,5.056619037,6.208580545,6.241576611,3.882296801,0.070475553,14.18931753,211.9745607,0.926838218
4tw-LEfnmxk,UCmAyYoNuOheCdlHnsBsRu3w,299880,3825,697,673826,271,4522,3.655330558,5.476947502,5.828547764,2.432969291,0.015079365,66.31578947,1106.568266,0.445040708
59ymY9QKOxw,UChRi1dpwnsZcIo1LSwzY0Iw,276493,5038,133,1398462,111,5171,3.713574538,5.441684141,6.14565067,2.045322979,0.018702101,53.46992845,2490.927928,0.197712201
5AGfSN00JsI,UCbu835KgHZxXE3mQbBdeMCA,18572,527,106,1850,710,633,2.80140371,4.268858675,3.267171728,2.851258349,0.034083567,29.33965245,26.15774648,10.03891892
5I3Ld9SbPFs,UCL7vy7MDOq9-tE-r6taQBlw,262297,10748,191,1719917,927,10939,4.038977622,5.418793323,6.235507489,2.967079734,0.041704633,23.97815157,282.9525351,0.152505615
5IyjWknTZB8,UCtbENbe4A8ShxD30gHo-WXw,21023,2292,6,48819,322,2298,3.361350024,4.32269469,4.688588879,2.507855872,0.109308852,9.148389904,65.28881988,0.430631516
5SRI9Tofvj8,UCNF0LEQ2abMr0PAX3cfkAMg,55977,2905,50,1061932,324,2955,3.470557485,4.748009619,6.026096708,2.51054501,0.052789539,18.94314721,172.7685185,0.052712415
5tQCOj1I5zs,UCMmpLL2ucRHAXbNHiCPyIyg,76652,1580,95,1981225,402,1675,3.224014811,4.884523491,6.296933799,2.604226053,0.021852006,45.76238806,190.6766169,0.038689195
5WlbMAyuUYs,UCXXsj9B95UBzrTHmGQyOMug,163797,1015,6,0,112,1021,3.009025742,5.214305943,#NUM!,2.049218023,0.006233325,160.4280118,1462.473214,#DIV/0!
6-v1b9waHWY,UCOvEMf00DnwdkpOCRWdc6uA,9092432,419647,12341,2065087,22550,431988,5.635471683,6.958680062,6.314938353,4.353146546,0.047510721,21.04788096,403.2120621,4.402929271
61XSRfqRUPs,UCoMGqOEr5dy2U4BXEUJtxlQ,22558,880,25,186598,88,905,2.956648579,4.353300592,5.270906985,1.944482672,0.040118805,24.92596685,256.3409091,0.120890899
6dDfr89eRd0,UCCqBV1xjoyDN9YMA1EpQv5A,135577,1837,161,956,0,1998,3.300595484,5.13218602,2.980457892,#NUM!,0.014737013,67.85635636,#DIV/0!,141.8169456
6QS5veNk-gI,UCBnxEdpoZwstJqC1yZpOjRA,3987125,139478,9568,2569319,8788,149046,5.173320325,6.600659851,6.409818028,3.943890048,0.037381823,26.7509695,453.7010696,1.551821708
6_cCP6Ppbzw,UCtlz8pU3IiHf77V8s740-pQ,190032,29940,82,159984,989,30022,4.477439621,5.278826739,5.204076551,2.995196292,0.157983918,6.329758177,192.1456016,1.187818782
