video_id,channel_id,view_count,like_count,dislike_count,subscriber_count,comment_count
-kwPjrTsV4k,UCuzpLu8YREpSs5ADAySZVYQ,352107,3780,52,584,282
0b_EOX6g6i8,UCKnnee98ihoTszlL_G6tQ6Q,267583,7725,283,79947,0
0DraOTfGi5A,UCqtc118chzxCUJExjeWbeEA,5027,19,0,41569,6
1EhmRpLd0bA,UCMlnZ4ZM2RgPnFzkBdMgnSA,78,8,1,1184,5
1K1W7NFhcUc,UCoZXzeOEtomauxdqLbRlAew,4197,154,1,1172,61
1ngQupA85J8,UCyE4PQiQjIVpBqhfigUYtTg,852,64,0,60698,6
3dCmroOoXAg,UC69YYWvWloLRgnNTMVCEUNA,2029,292,3,49704,22
3fdCa3SqYF4,UCH7AVgQY6Y3J2pCz_hsyJvQ,6975,340,3,5514,36
3ps2LWrxWa8,UCHL3Y--fCZ1E3GtUxLVVQrA,81707,710,28,965,73
3sRA4CM5c2M,UCGnVZxfYdgc2aUbPGAkEfdg,66573,4703,7,56865,323
4hoDwVy6IQ4,UCUmC7gXciukRv73CQRQ5QGQ,1616518,110599,3326,1744121,7626
4tw-LEfnmxk,UCmAyYoNuOheCdlHnsBsRu3w,299880,3825,697,673826,271
59ymY9QKOxw,UChRi1dpwnsZcIo1LSwzY0Iw,276493,5038,133,1398462,111
5AGfSN00JsI,UCbu835KgHZxXE3mQbBdeMCA,18572,527,106,1850,710
5I3Ld9SbPFs,UCL7vy7MDOq9-tE-r6taQBlw,262297,10748,191,1719917,927
5IyjWknTZB8,UCtbENbe4A8ShxD30gHo-WXw,21023,2292,6,48819,322
5SRI9Tofvj8,UCNF0LEQ2abMr0PAX3cfkAMg,55977,2905,50,1061932,324
5tQCOj1I5zs,UCMmpLL2ucRHAXbNHiCPyIyg,76652,1580,95,1981225,402
5WlbMAyuUYs,UCXXsj9B95UBzrTHmGQyOMug,163797,1015,6,0,112
6-v1b9waHWY,UCOvEMf00DnwdkpOCRWdc6uA,9092432,419647,12341,2065087,22550
61XSRfqRUPs,UCoMGqOEr5dy2U4BXEUJtxlQ,22558,880,25,186598,88
6dDfr89eRd0,UCCqBV1xjoyDN9YMA1EpQv5A,135577,1837,161,956,0
6QS5veNk-gI,UCBnxEdpoZwstJqC1yZpOjRA,3987125,139478,9568,2569319,8788
6_cCP6Ppbzw,UCtlz8pU3IiHf77V8s740-pQ,190032,29940,82,159984,989
7FQaIZGVbSA,UCSDh9GMZ8g6xaiMvLIVD8gA,1373,31,0,13,1
7kjLYu_ayLU,UCI-7hequY2IuQjpuj6g9BlA,124618,3480,72,13573,732
7t-I7ZQ-1uw,UCYaqtQ7cWVDYTZh5u61kHSQ,201,38,0,0,15
88yjagTmjjw,UCADR2va0vE-t3Jsk_5HrFkA,144757,2206,42,226,141
8drP1PUdaFU,UC46yq6Egi6fbJbjdIVVio3w,448,31,1,0,2
8ixlDtiY9fU,UCYgp9yNcArlkVRvk4OyGssw,37,1,0,244,0
8JgpAB4crSs,UCAM9Pvp3HzKvIAbAXHxidow,22760,403,25,259155,11
8Q4o87KPInY,UCR-uD130PlXKww_J2Q63CMg,5919363,100285,3267,1929677,4935
8W1_GJSZsSE,UCjvlGpg8tXylzRqdFExxUZw,15980,1193,54,2747118,110
8yPqW23aoi4,UCstEtN0pgOmCf02EdXsGChw,61642,3612,14,13192862,681
96eFECPZyVk,UC-5dIHmtQzHIdNCs7-bEdCA,9324,649,9,64283,106
9czO5fTCP-c,UCs7HHo_b3sK2ti9OZO-9mKw,4240,335,1,13560,50
9dZ9YJu5gsc,UCO4ryA0GLLwwsZ5ZQmkqVNA,199522,1874,55,57266,26
9Ed_E1suSsI,UCqtc118chzxCUJExjeWbeEA,1012,9,4,41569,7
9g5knnlF7Zo,UCuaFvcY4MhZY3U43mMt1dYQ,19126861,339867,22731,1581980,36170
A33n1ILSZeU,UCLoNQH9RCndfUGOb2f7E1Ew,14930,1182,5,775309,207
a5MFjRgnEAw,UCXIJgqnII2ZOINSWNOGFThA,72678,1721,123,1976514,0
aExIx8H2vW4,UCkz3m787ygph7Uvjxzngl-g,79450,2817,65,107266,665
aljvjJ36x3I,UC2VtPQTkNE3PVzkZuL21ivg,96307,5593,121,63805,148
An7UP1TdLkE,UC4ERNNnd0RamHRH4aj8tl8g,20030,661,11,0,120
aosPwZIu9KM,UC2XmJKyxLyT4-WLXRn0BJDg,72056,848,17,4872,88
aXSQfrz9j-Q,UCKzI8uTXAXjVgohgACHPz7Q,175431,6797,43,204269,2227
AzCg9AshVPo,UCDWdi7vjr3ac_z_VMMeiL_Q,14354,581,28,39633,385
azx90nHiIeg,UC3M7l8ved_rYQ45AVzS0RGA,36633,2608,30,407668,826
b-xp5rfqTE4,UCstEtN0pgOmCf02EdXsGChw,193212,1136,36,13192890,43
BDg5l2UlKRE,UCio_FVgKVgqcHrRiXDpnqbw,186833,34667,192,9119855,2979
beyJY99Rusk,UCWi_65E_L8tQZ34C6wVAlpQ,2698096,11562,1158,9011309,619
bo_efYhYU2A,UC07Kxew-cMIaykMOkzqHtBQ,59831874,984360,17644,9440095,44202
bSElE-a7LDQ,UC2nQYGjfe9I_tgWpqgJorUg,230551,14097,233,438384,3175
bSvfZ3pV13s,UCASWpfIDNKqwf9DROVFOUSw,890792,139179,443,5808,8712
BySsKsGFEy4,UCHqC-yWZ1kri4YzwRSt6RGQ,8222,590,8,327513,106
c0dFUo09iuo,UCFjOi1ZpZVErr8EYxg8t1dQ,36555,2098,32,395678,417
c4jyDJ2dOos,UCcgVECVN4OKV6DH1jLkqmcA,3116059,120518,10335,17418207,12811
CBGhk8WIJtU,UCjO3ji06DxmTM1RrzLVwmkA,5967,1769,2,21750,251
CdXF_DW04aY,UCdIs5dRqgZ1IWOdLZimHL_w,16788,1936,8,516257,159
CHYfO--S40g,UCA7gwgLgmCZ8DSmdf2bhb8g,1809982,60553,3927,953167,4059
ciA3v6tg5kA,UCMpZI6EDOXaQW7g4PqiqPHw,72482,7165,33,514562,164
CM6sHvPGLsk,UCpC64xtVdLP6RhqMBcsSUlQ,14939,527,4,2457,4
cV_6S1kBfVs,UCEY1ejsweY4DgMwOVJeEaBA,315401,9737,125,6999637,0
DlUsnZjfYZA,UCEf_Bc-KVd7onSeifS3py9g,2772370,445982,4627,16350424,42567
DmHZFSuxuhw,UCMngZqAEz6wcy9rBRb5n4Sg,190183,6967,21,4619,734
DZaPPDvssXY,UCH7AVgQY6Y3J2pCz_hsyJvQ,903,32,0,5514,1
EAnguoKPgAk,UCSio3E7kYvPeHKhfuYZWriA,235167,8685,189,186466,2017
EqVeo22QEh4,UCWXPkK02j6MHW-4xCJzgMuw,71717,3270,117,187718,112
eSjx4OxC4iM,UCqTwKvjbTENZDGbz2si47ag,14964,612,30,1454607,53
Et7Xv_BDzaI,UC8vXGfLggx4CAFsr2i0IoRA,155100,14141,82,1443785,2053
eYJXKBeEb2Y,UCT9D87j5W7PtE7NHOR5DUOQ,50037,5112,45,348280,1278
e_9QouZWUvc,UCk5Iqre0NCPMoH97U8KN_Jw,4955,65,30,1613,0
fhcwBs2hKvk,UCkaUtMpy3DU0L-q28pD62Ig,236311,6241,217,1717545,497
